Type,Athlete,Cat,Event,Date,Award,Year,Type
women,Amelia Mullins,LV35,Glos County Short XC Course,Mar-10,Gold,2010,Cross Country
women,Dawn Addinall,LV55,Glos County Short XC Course,Mar-10,Gold,2010,Cross Country
women,"Hilary Agate, Natasha Poole & Rachel Vines",SL,Glos County Short XC Course Team,Mar-12,Gold,2012,Cross Country
women,Liza Barry,SL,Glos County 4k Cross Country,Mar-09,Gold,2009,Cross Country
women,Laura Kent (18:12),LV35,Glos County 5km Road Champs,Aug-09,Gold,2009,Road
women,Rachel Vines (43:39.2),SL,Glos County 10000m Track Champs,Aug-09,Gold,2009,Track
women,Lucy McNulty (20:22),LV35,Glos County 5km Road Champs,Aug-08,Gold,2008,Road
women,Amelia Mullins,LV40,Glos County XC Champs,Jan-13,Silver,2013,Cross Country
women,Rachel Vins (11:34.2),SL,Glos County 3000m Track Champs,May-12,Silver,2012,Track
women,Hollie Wharton (14.7),SL,100m Glos County Track & Field Champs,May-12,Silver,2012,Track
women,Laura Kent,LV35,Glos County XC League,Feb-12,Silver,2012,Cross Country
women,Laura Kent,LV35,Glos County XC Champs,Feb-12,Silver,2012,Cross Country
women,Liza Barry (19:38),SL,Glos County 5km Road Champs,Aug-11,Silver,2011,Road
women,Amanda Steer (20:50),LV40,Glos County 5km Road Champs,Aug-11,Silver,2011,Road
women,Hilary Agate,SL,3000m Glos County Track & Field Champs,May-11,Silver,2011,Track
women,Liza Barry,SL,Glos County XC League 2010/11,Feb-11,Silver,2011,Cross Country
women,Laura Kent,SL,Glos County XC Champs,Jan-11,Silver,2011,Cross Country
women,"Rachel Vines, Patricia Woods & Amanda Steer",SL,Glos County XC Champs Team,Jan-11,Silver,2011,Cross Country
women,"Laura Kent (8th), Liza Barry (9th), Rachel Vines (17th) & Patricia Woods (26th)",SL,Midland Womens 5 Mile Cross Country Champs Team,Nov-10,Silver,2010,Cross Country
women,Laura Kent,LV35,Glos County XC Champs,Feb-10,Silver,2010,Cross Country
women,Naomi Kellett,LV40,Glos County XC Champs,Feb-10,Silver,2010,Cross Country
women,Natasha Poole,SL,Glos County Short XC Course,Mar-10,Silver,2010,Cross Country
women,"Sian Holly, Jo Wilkie & Louise Allsop",SL,Glos County Short XC Course Team,Mar-10,Silver,2010,Cross Country
women,"Louise Newman, Jill Harsent & Pauline Mglynn",LV45,Glos County Short XC Course Team,Mar-10,Silver,2010,Cross Country
women,Natasha Poole (11:08.6),SL,Glos County 3000m Track Champs,May-10,Silver,2010,Track
women,Liza Barry (40.56.2),SL,Glos County 10000m Track Champs,Aug-10,Silver,2010,Track
women,Nina Oates (5:18.1),SL,1500m Glos County Track & Field Champs,May-09,Silver,2009,Track
women,Liza Barry (19:44),SL,Glos County White Horse 5k,Aug-10,Silver,2010,Road
women,Sylvia Koster,LV60,Glos County 5km Road Champs,Aug-09,Silver,2009,Road
women,Rachel Vines,SL,Glos County 4k Cross Country,Mar-09,Silver,2009,Cross Country
women,Nina Oates (42:24),SL,Glos County 10km Road Champs,Sep-08,Silver,2008,Road
women,"Liza Barry, Vicky Lewis, Amanda Steer & Amelia Mullins",SL,Glos County XC Champs Team,Jan-13,Bronze,2013,Cross Country
women,Jo Wilkie - (11.45.4),SL,3000m Glos County Track & Field Champs,May-12,Bronze,2012,Track
women,Hollie Wharton (21.36m),SL,Glos County Track & Field Champs - Javelin,May-12,Bronze,2012,Track
women,Hollie Wharton (31.0),SL,Glos County 200m Track & Field Champs,May-12,Bronze,2012,Track
women,Amanda Steer,LV40,Glos County XC Champs,Jan-12,Bronze,2012,Cross Country
women,Beckie Boulton,LV35,Glos County XC Champs,Jan-12,Bronze,2012,Cross Country
women,"Hilary Agate, Laura Kent & Sian Holley",SL,Glos County XC Champs Team,Jan-12,Bronze,2012,Cross Country
women,Hilary Agate,SL,Glos County XC Champs,Jan-11,Bronze,2011,Cross Country
women,Liza Barry,SL,County Champs Road Series,Nov-10,Bronze,2010,Road
women,"Laura Kent, Naomi Kellett, Syliva Koster & Amelia Mullins",VW,"Glos County XC League, Ladies Vets Team",Feb-10,Bronze,2010,Cross Country
women,Liza Barry,SL,Glos County XC League,Feb-10,Bronze,2010,Cross Country
women,Rachel Vines,SL,Glos County Short XC Course,Mar-10,Bronze,2010,Cross Country
women,Caroline Pottier,LV35,Glos County Short XC Course,Mar-10,Bronze,2010,Cross Country
women,Rachel Vines (11:12.4),SL,Glos County 3000m Track Champs,May-10,Bronze,2010,Track
women,Rachel Vines (43:24.6),SL,Glos County 10000m Track Champs,Aug-10,Bronze,2010,Track
women,Lisa Boyd,SL,Glos County 4k Cross Country,Mar-09,Bronze,2009,Cross Country
women,Sian Holly (19:47),SL,Glos County White Horse 5k,Aug-10,Bronze,2010,Road
women,"Lisa Boyd, Angela Puffett & Jo Bryant (67:16)",SL,Glos County Road Relay,May-09,Bronze,2009,Road
women,Nina Oates (11:42.5),SL,3000m Glos County Track & Field Champs,May-09,Bronze,2009,Track
women,Liza Barry (19:44),SL,Glos County 5km Road Champs,Aug-09,Bronze,2009,Road
women,Dawn Addinall (26:34),LV55,Glos County 5km Road Champs,Aug-08,Bronze,2008,Road
women,Hilary Agate (134th - 32:22),SL,"Inter-Counties Cross Country, Cofton Park",Mar-12,Inter Counties XC,2012,Cross Country
women,Laura Kent (150th - 32:55),SL,"Inter-Counties Cross Country, Cofton Park",Mar-12,Inter Counties XC,2012,Cross Country
women,Jo Wilkie (206th - 35:18),SL,"Inter-Counties Cross Country, Cofton Park",Mar-12,Inter Counties XC,2012,Cross Country
women,Laura Kent (151st),SL,"Inter-Counties Cross Country, Cofton Park",Mar-11,Inter Counties XC,2011,Cross Country
women,Liza Barry (210th),SL,"Inter-Counties Cross Country, Cofton Park",Mar-11,Inter Counties XC,2011,Cross Country
women,Rachel Vines (216th),SL,"Inter-Counties Cross Country, Cofton Park",Mar-11,Inter Counties XC,2011,Cross Country
women,"Liza Barry (143rd, 32.55)",SL,"Inter-Counties Cross Country, Cofton Park",Mar-10,Inter Counties XC,2010,Cross Country
women,"Rachel Vines (198th, 34.21)",SL,"Inter-Counties Cross Country, Cofton Park",Mar-10,Inter Counties XC,2010,Cross Country
